team_name,season,player_id,player_position
Boston Celtics,2015-16,h/hollajo02,SF
Boston Celtics,2015-16,h/hunterj01,SG
Boston Celtics,2015-16,j/jerebjo01,PF
Boston Celtics,2015-16,j/johnsam01,PF
Boston Celtics,2015-16,l/leeda02,PF
Boston Celtics,2015-16,m/mickejo01,PF
Boston Celtics,2015-16,o/olynyke01,C
Boston Celtics,2015-16,r/roziete01,PG
Boston Celtics,2015-16,s/smartma01,PG
Boston Celtics,2015-16,s/sullija01,PF
Boston Celtics,2015-16,t/thomais02,PG
Boston Celtics,2015-16,t/turneev01,SG
Boston Celtics,2015-16,y/youngja01,SG
Boston Celtics,2015-16,z/zellety01,C
Brooklyn Nets,2025-26,c/clownno01,PF
Brooklyn Nets,2025-26,s/sharpda01,C
Brooklyn Nets,2025-26,c/claxtni01,C
Brooklyn Nets,2025-26,d/demineg01,PG
Brooklyn Nets,2025-26,m/mannte01,SG
Brooklyn Nets,2025-26,m/martity01,SG
Brooklyn Nets,2025-26,w/willizi02,SF
Brooklyn Nets,2025-26,p/portemi01,SF
Brooklyn Nets,2025-26,p/poweldr01,SG
Brooklyn Nets,2025-26,w/wilsoja03,PF
Brooklyn Nets,2025-26,w/wolfda01,PF
Brooklyn Nets,2025-26,t/traorno01,PG
Brooklyn Nets,2025-26,t/thomaca02,SG
Brooklyn Nets,2025-26,s/sarafbe01,SG
Brooklyn Nets,2025-26,l/liddeej01,PF
Brooklyn Nets,2025-26,e/etienty01,PG
Brooklyn Nets,2025-26,h/highsha01,SF
Brooklyn Nets,2025-26,j/johnsch06,SF
Brooklyn Nets,2024-25,b/beekmre01,PG
Brooklyn Nets,2024-25,c/claxtni01,C
Brooklyn Nets,2024-25,c/clownno01,PF
Brooklyn Nets,2024-25,c/cuiyo01,SG
Brooklyn Nets,2024-25,e/etienty01,PG
Brooklyn Nets,2024-25,e/evbuoto01,SF
Brooklyn Nets,2024-25,f/finnedo01,PF
Brooklyn Nets,2024-25,h/hayeski01,PG
Brooklyn Nets,2024-25,j/johnsca02,PF
Brooklyn Nets,2024-25,j/johnske07,SG
Brooklyn Nets,2024-25,l/lewisma05,SF
Brooklyn Nets,2024-25,m/martija02,SF
Brooklyn Nets,2024-25,m/martity01,SG
Brooklyn Nets,2024-25,w/whiteda01,SF
Brooklyn Nets,2024-25,m/miltosh01,SG
Brooklyn Nets,2024-25,r/russeda01,PG
Brooklyn Nets,2024-25,s/schrode01,PG
Brooklyn Nets,2024-25,s/sharpda01,C
Brooklyn Nets,2024-25,s/simmobe01,PG
Brooklyn Nets,2024-25,t/thomaca02,SG
Brooklyn Nets,2024-25,t/timmedr01,PF
Brooklyn Nets,2024-25,w/watfotr01,PF
Brooklyn Nets,2024-25,w/willizi02,SF
Brooklyn Nets,2024-25,w/wilsoja03,PF
Brooklyn Nets,2023-24,b/bateske01,SF
Brooklyn Nets,2023-24,b/bridgmi01,SF
Brooklyn Nets,2023-24,b/brookar01,PG
Brooklyn Nets,2023-24,c/claxtni01,C
Brooklyn Nets,2023-24,c/clownno01,PF
Brooklyn Nets,2023-24,d/dinwisp01,PG
Brooklyn Nets,2023-24,f/finnedo01,PF
Brooklyn Nets,2023-24,g/gilesha01,C
Brooklyn Nets,2023-24,g/gilyaja01,PG
Brooklyn Nets,2023-24,j/johnsca02,PF
Brooklyn Nets,2023-24,j/johnske07,SG
Brooklyn Nets,2023-24,w/whiteda01,SF
Brooklyn Nets,2023-24,o/onealro01,SF
Brooklyn Nets,2023-24,s/schrode01,PG
Brooklyn Nets,2023-24,s/sharpda01,C
Brooklyn Nets,2023-24,s/simmobe01,PG
Brooklyn Nets,2023-24,s/smithde03,PG
Brooklyn Nets,2023-24,t/thomaca02,SG
Brooklyn Nets,2023-24,w/walkelo01,SG
Brooklyn Nets,2023-24,w/watfotr01,PF
Brooklyn Nets,2023-24,w/wilsoja03,PF
Brooklyn Nets,2022-23,b/bridgmi01,SG
Brooklyn Nets,2022-23,b/brownmo01,C
Brooklyn Nets,2022-23,c/claxtni01,C
Brooklyn Nets,2022-23,c/curryse01,SG
Brooklyn Nets,2022-23,d/dinwisp01,PG
Brooklyn Nets,2022-23,d/dukeda01,SG
Brooklyn Nets,2022-23,d/duranke01,PF
Brooklyn Nets,2022-23,e/edwarke02,SF
Brooklyn Nets,2022-23,f/finnedo01,PF
Brooklyn Nets,2022-23,g/grayra01,PF
Brooklyn Nets,2022-23,h/harrijo01,SF
Brooklyn Nets,2022-23,i/irvinky01,PG
Brooklyn Nets,2022-23,j/johnsca02,PF
Brooklyn Nets,2022-23,m/millspa02,PG
Brooklyn Nets,2022-23,m/morrima02,PF
Brooklyn Nets,2022-23,n/noelne01,C
Brooklyn Nets,2022-23,o/onealro01,SF
Brooklyn Nets,2022-23,s/sharpda01,C
Brooklyn Nets,2022-23,s/simmobe01,PG
Brooklyn Nets,2022-23,s/smithdr01,SG
Brooklyn Nets,2022-23,s/sumneed01,SG
Brooklyn Nets,2022-23,t/thomaca02,SG
Brooklyn Nets,2022-23,w/warretj01,PF
Brooklyn Nets,2022-23,w/watanyu01,SF
Brooklyn Nets,2022-23,w/willial06,SG
Brooklyn Nets,2021-22,a/aldrila01,C
Brooklyn Nets,2021-22,b/bembrde01,SF
Brooklyn Nets,2021-22,b/brownbr01,SF
Brooklyn Nets,2021-22,c/carteje01,PG
Brooklyn Nets,2021-22,c/claxtni01,C
Brooklyn Nets,2021-22,c/curryse01,SG
Brooklyn Nets,2021-22,d/dragigo01,PG
Brooklyn Nets,2021-22,d/drumman01,C
Brooklyn Nets,2021-22,d/dukeda01,PG
Brooklyn Nets,2021-22,d/duranke01,PF
Brooklyn Nets,2021-22,e/edwarke02,SF
Brooklyn Nets,2021-22,e/ennisja01,SF
Brooklyn Nets,2021-22,g/gabriwe01,PF
Brooklyn Nets,2021-22,g/gallola01,SG
Brooklyn Nets,2021-22,g/griffbl01,C
Brooklyn Nets,2021-22,h/hardeja01,PG
Brooklyn Nets,2021-22,h/harrijo01,SF
Brooklyn Nets,2021-22,h/harrish01,SG
Brooklyn Nets,2021-22,i/irvinky01,PG
Brooklyn Nets,2021-22,j/johnsja01,PF
Brooklyn Nets,2021-22,m/millspa02,SG
Brooklyn Nets,2021-22,m/millspa01,C
Brooklyn Nets,2021-22,s/sharpda01,PF
Brooklyn Nets,2021-22,t/thomaca02,SG
Brooklyn Nets,2020-21,a/aldrila01,C
Brooklyn Nets,2020-21,a/allenja01,C
Brooklyn Nets,2020-21,b/brownbr01,PG
Brooklyn Nets,2020-21,c/chiozch01,PG
Brooklyn Nets,2020-21,c/claxtni01,C
Brooklyn Nets,2020-21,c/cookty01,PF
Brooklyn Nets,2020-21,d/dinwisp01,SG
Brooklyn Nets,2020-21,d/duranke01,PF
Brooklyn Nets,2020-21,g/greenje02,PF
Brooklyn Nets,2020-21,g/griffbl01,PF
Brooklyn Nets,2020-21,h/hardeja01,PG
Brooklyn Nets,2020-21,h/harrijo01,SF
Brooklyn Nets,2020-21,i/irvinky01,PG
Brooklyn Nets,2020-21,j/jamesmi02,PG
Brooklyn Nets,2020-21,j/johnsal02,PF
Brooklyn Nets,2020-21,j/johnsty01,SG
Brooklyn Nets,2020-21,j/jordade01,C
Brooklyn Nets,2020-21,k/kurucro01,PF
Brooklyn Nets,2020-21,l/leverca01,SG
Brooklyn Nets,2020-21,l/luwawti01,SF
Brooklyn Nets,2020-21,p/pelleno01,C
Brooklyn Nets,2020-21,p/perryre01,PF
Brooklyn Nets,2020-21,p/princta02,PF
Brooklyn Nets,2020-21,r/roberan03,SG
