team_name,season,player_name,player_id,player_position
Boston Celtics,2016-17,Kelly Olynyk,o/olynyke01,C
Boston Celtics,2016-17,Terry Rozier,r/roziete01,PG
Boston Celtics,2016-17,Marcus Smart,s/smartma01,SG
Boston Celtics,2016-17,Isaiah Thomas,t/thomais02,PG
Boston Celtics,2016-17,James Young,y/youngja01,SG
Boston Celtics,2016-17,Tyler Zeller,z/zellety01,C
Boston Celtics,2015-16,Avery Bradley,b/bradlav01,SG
Boston Celtics,2015-16,Coty Clarke,c/clarkco01,SF
Boston Celtics,2015-16,Jae Crowder,c/crowdja01,SF
Boston Celtics,2015-16,John Holland,h/hollajo02,SF
Boston Celtics,2015-16,R.J. Hunter,h/hunterj01,SG
Boston Celtics,2015-16,Jonas Jerebko,j/jerebjo01,PF
Boston Celtics,2015-16,Amir Johnson,j/johnsam01,PF
Boston Celtics,2015-16,David Lee,l/leeda02,PF
Boston Celtics,2015-16,Jordan Mickey,m/mickejo01,PF
Boston Celtics,2015-16,Kelly Olynyk,o/olynyke01,C
